finger,acc_x,acc_y,acc_z,orientation,quat_w,quat_x,quat_y,quat_z,target
MIDDLE,-0.962,-0.111,0.08,Left,0.64,-0.398,0.565,0.336,B
THUMB,0.812,-0.601,0.195,Towards you,0.689,-0.216,-0.632,0.283,B
INDEX,-0.898,-0.13,0.194,Left,0.393,-0.569,0.207,0.692,B
PALM,1.015,0.19,0.073,Left,-0.658,0.244,0.61,0.368,B
PINKY,-0.848,0.352,0.246,Away from you,-0.787,-0.241,-0.568,0.025,B
RING,-0.943,0.104,-0.144,Towards you,0.086,-0.734,0.177,0.65,B
MIDDLE,-0.974,-0.106,0.038,Left,0.638,-0.401,0.564,0.338,B
THUMB,0.819,-0.607,0.182,Towards you,0.692,-0.224,-0.628,0.277,B
INDEX,-0.908,-0.141,0.179,Left,0.387,-0.573,0.203,0.693,B
PALM,1.013,0.207,0.08,Left,-0.653,0.25,0.609,0.374,B
PINKY,-0.864,0.35,0.214,Away from you,-0.786,-0.229,-0.575,0.008,B
RING,-0.939,0.092,-0.175,Towards you,0.078,-0.738,0.168,0.648,B
MIDDLE,-0.98,-0.127,0.037,Left,0.634,-0.406,0.564,0.34,B
THUMB,0.819,-0.614,0.175,Towards you,0.694,-0.232,-0.625,0.271,B
INDEX,-0.889,-0.143,0.201,Left,0.383,-0.575,0.199,0.695,B
PALM,1.015,0.191,0.085,Left,-0.647,0.258,0.607,0.383,B
PINKY,-0.858,0.346,0.228,Away from you,-0.786,-0.222,-0.577,0.003,B
RING,-0.947,0.083,-0.151,Towards you,0.082,-0.737,0.169,0.649,B
MIDDLE,-0.972,-0.115,0.057,Left,0.642,-0.399,0.566,0.33,B
THUMB,0.816,-0.603,0.172,Towards you,0.699,-0.251,-0.622,0.247,B
INDEX,-0.896,-0.141,0.191,Left,0.394,-0.572,0.201,0.691,B
PALM,1.016,0.203,0.087,Left,-0.635,0.272,0.599,0.404,B
PINKY,-0.868,0.335,0.22,Away from you,-0.787,-0.214,-0.579,-0.006,B
RING,-0.948,0.088,-0.158,Towards you,0.079,-0.738,0.163,0.65,B
MIDDLE,-0.973,-0.123,0.05,Left,0.642,-0.4,0.565,0.33,B
THUMB,0.814,-0.605,0.171,Towards you,0.702,-0.26,-0.619,0.239,B
